time;file;initializedLogFiles;extractNerRules;extractLogEventTemplates;extractOttrBase;extractOttrInstances;generateTurtleFile
2022-08-11T17:24:25.458910Z;mail.log;37828;0;98;1;89;4163
2022-08-11T17:29:15.230821Z;messages;18075;2;806;3;479;16895
2022-08-11T17:29:15.230821Z;messages;18075;2;631;2;470;17273
2022-08-11T17:29:15.230821Z;messages;18075;2;653;2;480;22191
2022-08-11T17:29:15.230821Z;messages;18075;2;937;3;471;16326
2022-08-11T17:29:15.230821Z;messages;18075;2;558;2;338;12790
2022-08-11T17:31:04.716961Z;syslog;56448;0;625;6;457;19652
2022-08-11T17:31:04.716961Z;syslog;56448;0;734;5;712;23819
2022-08-11T17:31:04.716961Z;syslog;56448;0;994;7;535;18906
2022-08-11T17:31:04.716961Z;syslog;56448;0;639;5;431;19886
2022-08-11T17:31:04.716961Z;syslog;56448;0;451;5;422;20408
2022-08-11T17:31:04.716961Z;syslog;56448;0;435;6;455;19128
2022-08-11T17:31:04.716961Z;syslog;56448;0;649;4;421;18340
2022-08-11T17:31:04.716961Z;syslog;56448;0;436;6;430;21241
2022-08-11T17:31:04.716961Z;syslog;56448;0;1355;5;661;19613
2022-08-11T17:31:04.716961Z;syslog;56448;0;889;4;452;19935
2022-08-11T17:31:04.716961Z;syslog;56448;0;646;6;512;19816
2022-08-11T17:31:04.716961Z;syslog;56448;0;735;4;421;19876
2022-08-11T17:31:04.716961Z;syslog;56448;0;508;4;400;19425
2022-08-11T17:31:04.716961Z;syslog;56448;0;565;6;576;23789
2022-08-11T17:31:04.716961Z;syslog;56448;0;1625;5;626;19505
2022-08-11T17:31:04.716961Z;syslog;56448;0;743;4;429;19722
2022-08-11T17:31:04.716961Z;syslog;56448;0;619;6;544;19816
2022-08-11T17:31:04.716961Z;syslog;56448;0;276;4;87;4936
2022-08-11T17:38:10.847112Z;user.log;19566;0;396;1;443;18742
2022-08-11T17:38:10.847112Z;user.log;19566;0;386;1;512;18217
2022-08-11T17:38:10.847112Z;user.log;19566;0;385;1;564;21340
2022-08-11T17:38:10.847112Z;user.log;19566;0;488;1;445;21673
2022-08-11T17:38:10.847112Z;user.log;19566;0;813;5;376;13975
2022-08-11T17:40:09.261900Z;auth.log;1222;0;85;1;95;4488
2022-08-11T17:40:15.216635Z;mail.info;56446;56;2303;5;882;20731
2022-08-11T17:40:15.216635Z;mail.info;56446;56;241;0;421;22170
